;id_atleta;atleta;id_clube;id_posicao;ano;posicao
0;84104;Luizinho;294.0;4;2014;Meia
1;87230;Robson;265.0;3;2014;Zagueiro
2;70944;Bruno Henrique;264.0;4;2014;Meia
3;71581;Léo Costa;287.0;4;2014;Meia
4;89156;Nathan;275.0;3;2015;Zagueiro
5;78718;Michel;;5;2015;Atacante
6;79042;Tiago ;282.0;3;2016;Zagueiro
7;68952;Marinho;287.0;5;2016;Atacante
8;90764;Luis Gustavo;292.0;3;2016;Zagueiro
9;62086;Pará;262.0;2;2016;Lateral
10;85149;Ronaldo;292.0;4;2016;Meia
11;92981;Ronaldo;262.0;4;2016;Meia
12;90587;Cascardo;293.0;2;2016;Lateral
13;90290;Jailson;284.0;4;2017;Meia
14;95830;Emerson Cris;315.0;6;2017;Tecnico
15;73531;Washington;275.0;4;2014;Meia
16;69209;Diego Macedo;265.0;2;2014;Lateral
17;62977;Paulo Henrique Ganso;276.0;4;2014;Meia
18;82463;Otávio ;293.0;4;2014;Meia
19;89227;Balbino;284.0;4;2014;Meia
20;38374;Alessandro;265.0;5;2014;Atacante
21;77967;Mena;283.0;2;2015;Lateral
22;49675;Alexandre Pato;276.0;5;2015;Atacante
23;90307;Juninho;293.0;5;2016;Atacante
24;95121;Matheus Nogueira;284.0;1;2016;Goleiro
25;37790;Ceará;285.0;2;2016;Lateral
26;78994;Eduardo Henrique;285.0;4;2016;Meia
27;38632;Matheus Ferraz;292.0;3;2016;Zagueiro
28;71122;Matheus Menezes;263.0;3;2016;Zagueiro
29;62136;Marcelo Oliveira;294.0;6;2017;Tecnico
30;68698;Bruno Silva;263.0;4;2017;Meia
31;80281;Cleberson;293.0;3;2017;Zagueiro
32;83004;Otero;282.0;4;2017;Meia
33;83433;Patrick;292.0;4;2017;Meia
34;88597;Lucas Crispim;277.0;4;2017;Meia
35;92497;Douglas;266.0;4;2017;Meia
36;93806;Alison;373.0;5;2017;Atacante
37;97528;Frazan;266.0;3;2017;Zagueiro
38;50880;Keirrison;294.0;5;2014;Atacante
39;73644;Ivan;294.0;2;2014;Lateral
40;73417;Lima;290.0;2;2014;Lateral
41;86491;Jonatha Fumaça;294.0;5;2014;Atacante
42;68821;Rafael Galhardo;265.0;2;2014;Lateral
43;86762;Tárik;293.0;3;2014;Zagueiro
44;74017;Josa;287.0;4;2014;Meia
45;71995;Hugo;265.0;5;2014;Atacante
46;71631;Weverton;293.0;1;2015;Goleiro
47;83688;Luan;316.0;4;2015;Meia
48;90703;Matheuzinho;316.0;4;2015;Meia
49;42225;Eusébio;;2;2015;Lateral
50;92662;Denilson;284.0;3;2016;Zagueiro
51;92291;Bruno Viana;283.0;3;2016;Zagueiro
52;42247;Danny Morais;344.0;3;2016;Zagueiro
53;92078;Wallace;292.0;5;2016;Atacante
54;89343;Júnior Tavares;276.0;2;2016;Lateral
55;38523;Edílson;284.0;2;2017;Lateral
56;63013;Marcos Rocha;282.0;2;2017;Lateral
57;69036;Eduardo;373.0;2;2017;Lateral
58;78856;Marcão Silva;373.0;4;2017;Meia
59;79343;Doriva;373.0;6;2017;Tecnico
60;88323;Ángel Romero;264.0;5;2017;Atacante
61;70046;Victor Ferraz;277.0;2;2014;Lateral
62;87211;Eduardo Baptista;292.0;6;2014;Tecnico
63;80913;Nixon;262.0;5;2014;Atacante
64;37673;Alecsandro;262.0;5;2014;Atacante
65;84707;Jonatan Lucca;293.0;4;2015;Meia
66;91261;Bernardo;303.0;3;2015;Zagueiro
